Case Number,Year,Type,Country,Fatal (Y/N),Incompletion
2013.08.05,2013,Unprovoked,USA,N,2.5
2013.07.31,2013,Unprovoked,USA,N,3.0
2013.07.30,2013,Unprovoked,USA,N,4.0
2013.07.29.c,2013,Unprovoked,BAHAMAS,N,2.5
2013.07.29.b,2013,Unprovoked,MEXICO,N,5.0
2013.07.29.a,2013,Unprovoked,USA,N,2.5
2013.07.28.b,2013,Unprovoked,BAHAMAS,N,3.0
2013.07.28.a,2013,Unprovoked,BAHAMAS,N,3.5
2013.07.22,2013,Unprovoked,BRAZIL,Y,3.0
2013.07.19,2013,Unprovoked,USA,N,3.0
2013.07.17.R,2013,Unprovoked,USA,N,4.5
2013.07.15,2013,Unprovoked,REUNION,Y,3.0
2013.07.14,2013,Unprovoked,DIEGO GARCIA,Y,6.0
2013.07.11,2013,Unprovoked,USA,N,3.0
2013.07.09,2013,0,SPAIN,N,3.0
2013.07.02,2013,Unprovoked,AUSTRALIA,N,4.0
2013.06.30,2013,Unprovoked,TAIWAN,N,6.5
2013.06.27,2013,0,JAMAICA,Y,4.5
2013.06.25.c,2013,Unprovoked,USA,N,3.5
2013.06.25.b,2013,Unprovoked,USA,N,4.5
2013.06.25.a,2013,Unprovoked,USA,N,2.25
2013.06.18,2013,Unprovoked,USA,N,2.5
2013.06.17,2013,Unprovoked,USA,N,3.0
2013.06.16,2013,Unprovoked,SOUTH AFRICA,N,4.3003003003003
2013.06.15,2013,Unprovoked,USA,N,5.5
2013.06.14.R,2013,Unprovoked,USA,N,2.8003003003003
2013.06.06.b,2013,Provoked,USA,N,3.25
2013.06.06.a,2013,Unprovoked,AUSTRALIA,N,3.5
2013.05.27.b,2013,Unprovoked,USA,N,3.5
2013.05.27.a,2013,Unprovoked,USA,N,3.3003003003003
2013.05.23.b,2013,Unprovoked,BRAZIL,Y,4.5
2013.05.23.a,2013,Provoked,PALESTINIAN TERRITORIES,N,4.3003003003003
2013.05.14,2013,Unprovoked,ECUADOR,N,2.5
2013.05.08.b,2013,0,USA,Y,4.0
2013.05.08.a,2013,Unprovoked,REUNION,Y,3.0
2013.05.04.a,2013,Unprovoked,USA,N,2.5
2013.04.28,2013,Provoked,AUSTRALIA,N,4.5
2013.04.24,2013,Unprovoked,MEXICO,N,2.5
2013.04.21,2013,Unprovoked,AUSTRALIA,N,2.5
2013.04.17,2013,Unprovoked,USA,N,2.5
2013.04.14,2013,Unprovoked,SOUTH AFRICA,N,5.0
2013.04.13.b,2013,Unprovoked,USA,N,2.5
2013.04.13.a,2013,Unprovoked,GUAM,Y,6.0
2013.04.10,2013,Unprovoked,FRENCH POLYNESIA,N,2.0
2013.04.04,2013,Unprovoked,USA,N,4.5
2013.04.02.R,2013,0,AUSTRALIA,Y,3.25
