,Year,Country,Area,Activity,Sex,Age,Fatal_Y_N
5445,1891,NEW ZEALAND,North Island,"Swimming, after boat swamped",M,,N
5446,1891,KIRIBATI,Line Islands,"Sea Disaster, canoes capsized in storm",,,Y
5447,1891,CANADA,Nova Scotia,Knocked overboard,M,,Y
5448,1891,USA,New Jersey,Shooting sharks ,M,,N
5449,1891,USA,Virginia,Fishing for sharks when he became entangled in net & fell overboard,M,,Y
5450,1891,PARAGUAY,,Fleeing across a river,,,Y
5451,1891,JAMAICA,Kingston Parish,boat capsized,M,,Y
5452,1890,AUSTRALIA,Queensland,Swimming to shore after boat capsized by a squall,,,Y
5453,1890,BRITISH NEW GUINEA,Woodlark Islands,Thrown overboard,M,18,N
5454,1890,ATLANTIC OCEAN,,Thrown overboard,M,,Y
5455,1890,USA,New Jersey,Fishing for bluefish,,,N
5456,1890,USA,Connecticut,Treading for clams,M,,N
5457,1890,SAMOA,Upolu Island,Bathing,M,,N
5458,1890,CROATIA,,Swimming,M,,N
5459,1890,PERSIAN GULF,,Fell overboard,M,,N
5460,1890,EGYPT,,Swimming,M,,Y
5462,1890,MALTA,Munxar Reef,"Fishing boat with 4 men on board was rammed & capsized by  a shark, throwing all occupants into the water",M,,Y
5463,1890,AUSTRALIA,Tasmania,Wading,M,,N
5466,1890,NEW ZEALAND,North Island,Swimming,M,,Y
5467,1890,SOUTH AFRICA,KwaZulu-Natal,Bathing,M,,Y
5469,1889,AUSTRALIA,Queensland,Fell into the water,M,,Y
5470,1889,USA,Hawaii,Parachuted from balloon,M,,Y
5471,1889,INDIA,Tamil Nadu,Swimming,M,,Y
5472,1889,USA,Florida,Swimming,M,,Y
5473,1889,USA,Texas,Fishing,M,,N
5474,1889,AUSTRALIA,Victoria,Fell into the water,M,,Y
5475,1889,USA,Florida,Fishing,,,N
5476,1889,SIERRA LEONE,Western Area,Cleaning the side of a ship,M,,Y
5477,1888,INDIAN OCEAN,Between Perth & Colombo,Swimming,M,,N
5478,1888,AUSTRALIA,New South Wales,Swimming,M,11,Y
5479,1888,AUSTRALIA,New South Wales,Working on the bridge when he fell into the river,M,,Y
5480,1888,CROATIA, Primorje-Gorski Kotar County,,,,Y
5481,1888,CANADA,Nova Scotia,The steamships Thingvalla and Geiser collided,M,,Y
5482,1888,USA,New York,Sailing,,,N
5483,1888,JAMAICA,,Probabable drowning,M,,Y
5484,1888,INDIA,Gujarat,The Dwarka foundered,M,,Y
5485,1888,CROATIA,Lukovo,,,,Y
5486,1888,AUSTRALIA,Victoria,Fishing,,,N
5487,1888,AUSTRALIA,Victoria,The cutter yacht Cutty Sark sank,M,,Y
5488,1888,NEW ZEALAND,South Island,Floating on his back,M,,N
5489,1888,SOUTH AFRICA,Eastern Cape Province,Crossing the river mouth,M,,Y
5490,1888,AUSTRALIA,New South Wales,Rowing,M,,N
5491,1888,LIBYA,Mediterranean Sea,Sponge diving,M,,N
5492,1887,HONDURAS,Cortés,Fell oveboard from steamer Wanderer,M,33,Y
5493,1887,AUSTRALIA,New South Wales,,M,,Y
5494,1887,USA,Florida,"Crossing inlet in a boat, seen fighting sharks with his oar, sharks smashed boat",M,,Y
5495,1887,BAHAMAS,,"Sea disaster, wreck of the Alfred Watts",M,,Y
5496,1887,ITALY,,Swimming,M,,N
5497,1887,CROATIA, Primorje-Gorski Kotar County,,,,Y
5498,1887,AUSTRALIA,South Australia,Rowing a dinghy,,,N
5499,1887,NEW ZEALAND,North Island,Swimming,M,,Y
5500,1887,SOUTH AFRICA,Western Cape Province,,,,N
5501,1887,BRAZIL,Alagoas,The passenger ship Kapuna was run down the ore carrier Ada Melmore,M,,Y
5502,1887,SOUTH AFRICA,Eastern Cape Province,Swimming,M,13,Y
5503,1887,OCEAN,"Somewhere between Philadelphia and Hiogo, Japan",British ship Macedon was thrown on her beam ends by a sudden squall,M,,N
5504,1886,USA, New Jersey,,M,,N
5505,1886,USA,New Jersey,"Netting menhaden, sharks caught in net",,,N
5506,1886,USA,New Jersey,Clamming,M,,N
5507,1886,AUSTRALIA,Queensland,Swimming after being washed overboard,M,18,Y
5508,1886,USA,Hawaii,"Fishing from shore, washed into the sea",F,,Y
5509,1886,NEW CALEDONIA,South Province,Bathing,M,,Y
5510,1886,AUSTRALIA,Queensland,Oystering,M,,N
5511,1886,NEW ZEALAND,South Island,Sea disaster : Wreck of the Taiaroa,M,,Y
5512,1886,NEW ZEALAND,South Island,Bathing ,M,,N
5513,1886,AUSTRALIA,New South Wales,He drowned when boat capsized,M,,Y
5514,1886,AUSTRALIA,Victoria,Fishing,M,,N
5515,1886,SOUTH AFRICA,Eastern Cape Province,Diving off jetty,M,,N
5516,1886,AUSTRALIA,Queensland,Diving alongsidethe steamship Ranelagh ,M,,N
5517,1886,SOUTH AFRICA,Western Cape Province,Swimming,M,,Y
5518,1886,AUSTRALIA,New South Wales,Sailing,M,,N
5519,1885,AUSTRALIA,Queensland,,,,N
5520,1885,AUSTRALIA,Western Australia,Bathing,M,,N
5521,1885,ATLANTIC OCEAN,,Fell or jumped overboard from the liner Rhynland,M,,Y
5522,1885,USA,Hawaii,Wreck of the schooner Pohoiki ,M,,N
5524,1885,USA,Hawaii,Wreck of the schooner Pohoiki ,M,,Y
5525,1885,,,Swimming,M,,Y
5526,1885,NEW ZEALAND,North Island,Bathing,M,,N
5527,1885,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,,N
5528,1884,AUSTRALIA,South Australia,yachting accident,M,,Y
5529,1884,FRANCE,Côte d'Azur  ,,F,,Y
