,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
1162,2007.04.26,26-Apr-07,2007,Unprovoked,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.26-Lorraine.pdf,4831
1163,2007.04.22,22-Apr-07,2007,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,N,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.22-Honyak.pdf,4830
1164,2007.04.20,20-Apr-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.20-ChadGuthrie.pdf,4829
1165,2007.04.13.R,Reported      13-Apr-2007,2007,Boat,USA,Florida,"Florida Keys, Monroe County",Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.13.R-GonFishin.pdf,4828
1166,2007.04.09,09-Apr-07,2007,Unprovoked,NEW CALEDONIA,South Province,Dumbéa,Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.09-Bertholom.pdf,4827
1167,2007.04.01,01-Apr-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing on a sandbar,N,13h05,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.01-Lomedico.pdf,4826
1168,2007.03.31.b,31-Mar-07,2007,Unprovoked,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,N,14h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.31.b-Olson.pdf,4825
1169,2007.03.31.a,31-Mar-07,2007,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",Unknown,N,13h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.31.a-Waveland.pdf,4824
1170,2007.03.22,22-Mar-07,2007,Unprovoked,YEMEN,Muhafazat Hadramawt,Ras-Alkalb,Murder,Y,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.22-EthiopianRefugees.pdf,4823
1171,2007.03.21,21-Mar-07,2007,Unprovoked,USA,Florida,Jupiter Inlet,Surfing,N,Evening,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.21-Chief.pdf,4822
1172,2007.03.20,20-Mar-07,2007,Unprovoked,AUSTRALIA,New South Wales,South Golden Beach,Surfing,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.20-JodieCooper.pdf,4821
1173,2007.03.14.R,Reported 14-Mar-2007,2007,Provoked,USA,Florida,Delray Beach,Shark fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.14.R-Kuehlewind.pdf,4820
1174,2007.03.12,12-Mar-07,2007,Unprovoked,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",Swimming,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.12-Ryan.pdf,4819
1175,2007.03.11,11-Mar-07,2007,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.11-McMichael.pdf,4818
1176,2007.03.05.R,Reported 05-Mar-2007,2007,Provoked,NEW ZEALAND,Cook islans,Penhryn Island,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.05.R-Maretapu.pdf,4817
1177,2007.02.04,04-Feb-07,2007,Invalid,COSTA RICA,,,Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.02.04-Cash.pdf,4816
1178,2007.02.03,03-Feb-07,2007,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Boogie Boarding,N,08h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.02.03-McIntosh.pdf,4815
1179,2007.02.00,Feb-07,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,Ouvéa,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.02.00-Ouvea.pdf,4814
1180,2007.01.25.b,25-Jan-07,2007,Unprovoked,NEW CALEDONIA,North Province,Kaala-Gomen ,Spearfishing (free diving),N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.01.25.b-Jizdny.pdf,4813
1181,2007.01.25.a,25-Jan-07,2007,Boat,USA,Florida,100 miles off Ft. Myers Beach,Shrimping,N,03h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.01.25.a-ChristyNichole.pdf,4812
1182,2007.01.23,23-Jan-07,2007,Unprovoked,AUSTRALIA,New South Wales,Cape Howe,Diving,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.01.23-Nerhus.pdf,4811
1183,2007.01.19,19-Jan-07,2007,Invalid,AUSTRALIA,New South Wales,Brunswick Heads,Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.01.19-Houghton.pdf,4810
1184,2007.01.14,14-Jan-07,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming / Body Surfing,Y,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.01.14-Masiza.pdf,4809
1185,2007.01.09,09-Jan-07,2007,Unprovoked,AUSTRALIA,New South Wales,Sandbar Beach,Surfing,N,06h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.01.09-Sparkes.pdf,4808
1186,2007.01.07,07-Jan-07,2007,Invalid,USA,New York,"Smith Point, Long Island",Surfing,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.01.07-Brodsky.pdf,4807
1187,2007.01.05,01-Jan-07,2007,Unprovoked,USA,Hawaii,"Majors Bay, Kaua'i",Surfing,N,10h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.01.05-Reed.pdf,4806
1188,2006.12.18,18-Dec-06,2006,Unprovoked,AUSTRALIA,Victoria,"Winki Pop, Bells Beach",Surfing,N,20h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.12.18-Galvin.pdf,4805
1189,2006.12.11,11-Dec-06,2006,Unprovoked,NEW ZEALAND,North Island,"Raglan, Manu Bay",Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.12.11-Reid.pdf,4804
1190,2006.12.10,10-Dec-06,2006,Unprovoked,USA,California,"Dillon Beach, Marin County",Surfing,N,11h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.12.10-Frailey.pdf,4803
1191,2006.12.06,06-Dec-06,2006,Provoked,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Fishing,N,"""Evening""",http://sharkattackfile.net/spreadsheets/pdf_directory/2006.12.06-Willoughby.pdf,4802
1192,2006.12.02,02-Dec-06,2006,Unprovoked,AUSTRALIA,Western Australia,Wharton Beach,Body boarding,N,07h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.12.02-Golebiowski.pdf,4801
1193,2006.11.25,25-Nov-06,2006,Sea Disaster,PHILIPPINES,Surigao del Norte,"Off Bilisan Point, Hinatuarn Island",Sea Disaster,Y,14h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.11.25-Leonida.pdf,4800
1194,2006.11.11,11-Nov-06,2006,Unprovoked,USA,Hawaii,"Kihei, Maui",Swimming,N,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.11.11-Gruen.pdf,4799
1195,2006.11.09,09-Nov-06,2006,Provoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Canoeing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.11.09-Tebutt.pdf,4798
1196,2006.10.31,31-Oct-06,2006,Unprovoked,USA,Oregon,"Siletz River mouth, Lincoln County",Surfing,N,Just before sundown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.10.31-Perez.pdf,4797
1197,2006.10.16,16-Oct-06,2006,Unprovoked,USA,Florida,Sebastian Inlet,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.10.16-Castellano.pdf,4796
1198,2006.10.10,10-Oct-06,2006,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.10.10-Cody.pdf,4795
1199,2006.10.07,07-Oct-06,2006,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.10.07-Torres.pdf,4794
1200,2006.10.05,05-Oct-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing soccer in the water,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.10.05-Munoz.pdf,4793
1201,2006.10.00.b,Oct-06,2006,Unprovoked,BAHAMAS,New Providence Island,Nassau,Free diving / modeling,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.10.00.b-Foucre.pdf,4792
1202,2006.10.00.a,Oct-06,2006,Unprovoked,GULF OF ADEN,Between Somalia & Yemen,,Murder,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.10.00.a-EthiopianRefugees.pdf,4791
1203,2006.09.30,30-Sep-06,2006,Invalid,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.30-Johnston.pdf,4790
1204,2006.09.29,29-Sep-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.29-Andrews.pdf,4789
1205,2006.09.18.R,Reported 18-Sep-2006,2006,Provoked,USA,Florida,"Off Key Largo, Monroe County",Diving / Kissing the shark,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.18.R-DaveMarcel.pdf,4788
1206,2006.09.16,16-Sep-06,2006,Unprovoked,USA,North Carolina,Onslow Beach,Surfing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.16-JakePoland.pdf,4787
1207,2006.09.14,14-Sep-06,2006,Unprovoked,USA,Florida,"Singer Island, Riviera Beach",Swimming,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.14-Carol.pdf,4786
1208,2006.09.11,11-Sep-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.11-Macy.pdf,4785
1209,2006.09.04,04-Sep-06,2006,Invalid,AUSTRALIA,Queensland,Great Barrier Reef  ,Diving,Y,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.04-SteveIrwin.pdf,4784
1210,2006.09.03.b,03-Sep-06,2006,Unprovoked,BRAZIL,,,Unknown,Y,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.03.b-Darlan-dos-Santos-Luz.pdf,4783
1211,2006.09.03.a,03-Sep-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.03.a-Duncan.pdf,4782
1212,2006.09.02,02-Sep-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,N,17h55,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.02.b-Child-NSB.pdf,4781
1213,2006.09.02,02-Sep-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.09.02.a-Harcourt-Wood.pdf,4780
1214,2006.08.29.b,29-Aug-06,2006,Unprovoked,USA,Oregon,"Florence, Lane County",Surfing,N,Sunset,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.29.b-Larson.pdf,4779
1215,2006.08.29.a,29-Aug-06,2006,Unprovoked,AUSTRALIA,South Australia,"Pennington Bay, Kangaroo Island",Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.29.a-Jamieson.pdf,4778
1216,2006.08.27,27-Aug-06,2006,Unprovoked,REUNION,Saint-Gilles-les-Bains,"Les Aigrettes, near Boucan-Canot",Body boarding,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.27-Gerald.pdf,4777
1217,2006.08.22.b,22-Aug-06,2006,Invalid,BRAZIL,Pernambuco,Pina,Unknown,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.22.b-Melo.pdf,4776
1218,2006.08.22.a,22-Aug-06,2006,Invalid,BELIZE,Ambergris Caye,Near Ramon's Village,Spearfishing,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.22.a-Coba.pdf,4775
1219,2006.08.20.b,20-Aug-06,2006,Sea Disaster,ITALY,,Lampedusa Island,Sea Disaster,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.20.b-Lampedusa.pdf,4774
1220,2006.08.20.a,20-Aug-06,2006,Unprovoked,REUNION,Saint-Pierre,Pointe du Diable,Surfing,Y,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.20-Emond.pdf,4773
1221,2006.08.15,15-Aug-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Danger Reef,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.15-RichardWhitaker.pdf,4772
1222,2006.08.13,13-Aug-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunrise Beach, Muizenberg",Lifesaving drill,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.13-Hassiem.pdf,4771
1223,2006.08.00.b,Aug-06,2006,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Wading,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.00.b-Picklesimer.pdf,4770
1224,2006.08.00.a,Early Aug-2006,2006,Unprovoked,REUNION,,Le Port,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.08.00.a-Reunion.pdf,4769
1225,2006.07.31.R,31-Jul-06,2006,Provoked,USA,Kentucky,"Newport Aquarium, Newport",Touching sharks,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.31.R-NewportAquarium.pdf,4768
1226,2006.07.31.a,31-Jul-06,2006,Unprovoked,USA,Oregon,Oswald State Park,Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.31.a-Martin.pdf,4767
1227,2006.07.29.b,29-Jul-06,2006,Invalid,USA,California,"Broad Beach, Malibu, Los Angeles County",Boogie Boarding,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.29.b-Lurie.pdf,4766
1228,2006.07.29.a,29-Jul-06,2006,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.29.a-Wishengrad.pdf,4765
1229,2006.07.28,28-Jul-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Fish Hoek,Surf-skiing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.28-Maasdorp.pdf,4764
1230,2006.07.25,25-Jul-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,13h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.25-NSB.pdf,4763
1231,2006.07.23,23-Jul-06,2006,Unprovoked,USA,Texas,"Sargent Beach, Matagorda County",Surf fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.23-Halbert.pdf,4762
1232,2006.07.17.R,Reported 17-Jul-2006,2006,Invalid,AUSTRALIA,Torres Strait,Western Province,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.17.R-TorresStrait.pdf,4761
1233,2006.07.17,17-Jul-06,2006,Unprovoked,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.17.a-DallasJackson.pdf,4760
1234,2006.07.13,13-Jul-06,2006,Invalid,SPAIN,Alicante,San Juan Beach  ,Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.13-girl-Spain.pdf,4759
1235,2006.07.12,12-Jul-06,2006,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.12-KiawahIsland.pdf,4758
1236,2006.07.10,10-Jul-06,2006,Unprovoked,BRAZIL,Pernambuco,Body recovered at Goiana,Unknown,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.10-Goiana.pdf,4757
1237,2006.07.09.b,09-Jul-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.09.b-NewSmyrnaBeach.pdf,4756
1238,2006.07.09.a,09-Jul-2006.,2006,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Walking,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.09.a-PontaVedra.pdf,4755
1239,2006.07.08.b,08-Jul-06,2006,Unprovoked,USA,South Carolina,"Debordieu Beach, Georgetown County",Body boarding,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.08.b-Lacy.pdf,4754
1240,2006.07.08.a,08-Jul-06,2006,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Swimming,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.07.08.a-Playalinda.pdf,4753
1241,2006.06.30.b,Jul-06,2006,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.30.b-Bebe-Hall.pdf,4752
1242,2006.06.30.a,Jul-06,2006,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.30.a-GaryHall.pdf,4751
1243,2006.06.27,27-Jun-06,2006,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,N,11h10,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.27-Shipp.pdf,4750
1244,2006.06.26,26-Jun-06,2006,Provoked,USA,Florida,Fort Myers,Fishing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.26-FtMyers.pdf,4749
1245,2006.06.24,24-Jun-06,2006,Unprovoked,BAHAMAS,Andros Islands,Mangrove Cay,Spearfishing,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.24-Rolle.pdf,4748
1246,2006.06.20,20-Jun-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.20-Schelk.pdf,4747
1247,2006.06.18,18-Jun-06,2006,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",Body boarding,Y,09h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.18-Batista.pdf,4746
1248,2006.06.17,17-Jun-06,2006,Unprovoked,USA,California,"Monterey, Monterey County",Scuba diving,N,11h10,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.17-Piatt.pdf,4745
1249,2006.06.15,15-Jun-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.15-Milea.pdf,4744
1250,2006.06.07,07-Jun-06,2006,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Playing,N,13h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.07-Wallis.pdf,4743
1251,2006.06.05,05-Jun-06,2006,Unprovoked,AUSTRALIA,South Australia,Waitpinga,Surfing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.06.05-Dunn.pdf,4742
1252,2006.05.31,31-May-06,2006,Unprovoked,USA,Hawaii,O'ahu,Spearfishing,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.05.31-Deguilmo.pdf,4741
1253,2006.05.28,28-May-06,2006,Provoked,USA,Hawaii,French Frigate Shoals,Tagging sharks,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.05.28-HI-2.pdf,4740
1254,2006.05.27,27-May-06,2006,Unprovoked,USA,Hawaii,"North Shore, O'ahu",Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.05.27-Desmond.pdf,4739
1255,2006.05.24,24-May-06,2006,Provoked,USA,Hawaii,Lanai,Spearfishing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.05.24-Balmacda.pdf,4738
1256,2006.05.21,21-May-06,2006,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.05.21-Carvalho.pdf,4737
1257,2006.05.19,19-May-06,2006,Unprovoked,USA,Guam,Gun Beach,Scuba diving,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.05.19-Guam.pdf,4736
1258,2006.05.10,05-May-06,2006,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Unknown,N,12h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.05.10-CocoaBeach.pdf,4735
1259,2006.05.04,04-May-06,2006,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Swimming,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.05.04-King.pdf,4734
1260,2006.05.02,02-May-06,2006,Provoked,AUSTRALIA,Queensland,"Moffat Beach, Caloundra",Snorkeling,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.05.02-Caloundra.pdf,4733
1261,2006.04.23.R,Reported      23-Apr-2006,2006,Invalid,USA,Florida,"Alligator Reef off Islamorada, Monroe County",Unknown,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.04.23.R-Islamorada.pdf,4732
1262,2006.04.21,21-Apr-06,2006,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.04.21-Bunn.pdf,4731
1263,2006.04.19,19-Apr-06,2006,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.04.19-Prescott.pdf,4730
1264,2006.04.13,13-Apr-06,2006,Provoked,USA,Florida,"Port of the Islands, Collier County",Fishing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.04.13-fisherman.pdf,4729
1265,2006.04.11,11-Apr-06,2006,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Surfing,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.04.11-Cook.pdf,4728
1266,2006.04.09.b,09-Apr-06,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Body boarding,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.04.09.b-Duffin.pdf,4727
1267,2006.04.09.a,09-Apr-06,2006,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.04.09.a-Pereira.pdf,4726
1268,2006.04.03,03-Apr-06,2006,Unprovoked,USA,Florida,"Marco Island, Collier County",Wading,N,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.04.03-Ausum.pdf,4725
1269,2006.03.28.R,Reported  28-Mar-2006,2006,Unprovoked,Sierra Leone,Western Area,"Lumely Beach, Freetown",Fishing,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.03.28.R-SierraLeone.pdf,4724
1270,2006.03.23,23-Mar-06,2006,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Surfing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.03.23-Dunn.pdf,4723
1271,2006.03.22,22-Mar-06,2006,Invalid,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.03.22-Koutz.pdf,4722
1272,2006.03.19,18-Mar-06,2006,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.03.19-PaulSue.pdf,4721
1273,2006.03.15,15-Mar-06,2006,Unprovoked,AUSTRALIA,New South Wales,"Bondi, Sydney",Surfing,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2006.03.15-Moclair.pdf,4720
