,Year,Type,Country,Activity,Sex,Age,Injury,Fatal (Y/N),Time
829,2010,Unprovoked,AUSTRALIA,Snorkeling,F,9,2 sets of minor lacerations below her right knee,N,
830,2010,Unprovoked,VIETNAM,,F,27,Minor injuries,N,
850,2009,Unprovoked,USA,Surfing,F,27,Foot bitten,N,16h30
856,2009,Unprovoked,AUSTRALIA,Paddle-boarding,F,17,"No injury, shark bit rear of paddleboard",N,07h00
859,2009,Unprovoked,PANAMA,Wading,F,10,Arm & torso bitten,N,18h30
874,2009,Unprovoked,USA,Swimming,F,22,Puncture wounds to left foot & calf,N,16h30
881,2009,Unprovoked,VIETNAM,Swimming,F,41,Foot bitten,N,17h30
883,2009,Unprovoked,USA,Wading,F,14,Lacerations to anterior left lower leg,N,Afternoon
885,2009,Unprovoked,USA,Swimming,F,26,Laceration to left foot,N,15h00
886,2009,Unprovoked,USA,Swimming,F,19,Laceration to lower right leg,N,15h00
891,2009,Unprovoked,USA,Boogie Boarding,F,12,Right ankle bitten,N,16h00
892,2009,Provoked,USA,Swimming,F,43,Thigh injured by hooked shark PROVOKED INCIDENT,N,15j45
899,2009,Unprovoked,EGYPT,Snorkeling,F,50,FATAL,Y,Morning
907,2009,Unprovoked,USA,,F,27,Multiple lacerations to right foot & ankle,N,16h45
922,2009,Unprovoked,AUSTRALIA,Surfing,F,27,"No injury, shark bit nose of surfboard",N,07h45
923,2009,Unprovoked,USA,Surfing,F,17,Minor bite to ankle,N,17h30
924,2009,Unprovoked,MALAYSIA,Feeding fish,F,27,Minor injury,N,
949,2009,Unprovoked,AUSTRALIA,Surfing,F,13,Severe lacerations to right leg,N,15h45
965,2008,Unprovoked,EGYPT,Scuba diving,F,27,Lacerations to fingers,N,Morning
967,2008,Unprovoked,ECUADOR,,F,27,Leg bitten,N,
997,2008,Unprovoked,USA,Treading water,F,38,Severe lacerations to left foot,N,Dusk
